Antiviral,Particulas virais/uL
0.018014772113132772,322.17176512412146
1.7872769044906927,319.3200985775486
3.495010778998705,316.50217460662924
5.144371121707975,313.71915111435857
6.738300613880432,310.9719966767867
8.279547413276662,308.26150763920486
9.770680966360883,305.5883239983203
11.214106302790611,302.9529441219516
12.612076979470292,300.35573836184955
13.966706820703982,297.7969616177044
15.279980583087442,295.2767649115994
16.55376365830706,292.7952060323329
17.78981091360257,290.3522593083604
18.989774758002017,287.94782456684203
20.155212512296814,285.5817353344853
21.287593151878774,283.2537663337696
22.38830348382824,280.96364032575474
23.45865381286923,278.71103434814364
24.499883144864178,276.4955853946439
25.513163971294517,274.3168955790013
26.499606673570845,272.17453682443045
27.46026358195467,270.0680551165371
28.396132720283813,267.9969743552988
29.308161264515224,265.96079983918617
30.197248740280436,263.95902141217283
31.064249982145014,261.9911163021139
31.90997787503677,260.0565516768573
32.735205896322775,258.1547869424309
33.54067047524528,256.2852758057675
34.32707318484468,254.44746812265134
35.09508278008226,252.6408115499173
35.84533709460755,250.86475301939987
36.578444807477304,249.11874004968092
37.29498709011118,247.4022219103731
37.99551914285006,245.71465065243427
38.680571629654956,244.05548201687427
39.35065201873814,242.42417623316203
40.00624583624429,240.82019871768352
40.647817839490735,239.24302068169126
41.27581311572442,237.69211965738694
41.89065811185473,236.1669799500108
42.492761600168436,234.66709302312603
43.08251558462256,233.19195782365017
43.66029615193732,231.74108105260913
44.22646427137252,230.313977387047
44.78136654676098,228.91016965804846
45.32533592409146,227.52918898937844
45.85869235767641,226.1705749008331
46.38174343770506,224.83387538003262
46.894784981768645,223.51864692603993
47.39810159274758,222.22445456786966
47.891967185271476,220.95087186069478
48.37664548279835,219.6974808622627
48.85239048720816,218.4638720918275
49.31944692266768,217.24964447367313
49.77805065539644,216.05440526710726
50.22842909084647,214.87776998463568
50.67080154970122,213.71936229984902
51.10537962399948,212.5788139464209
51.53236751459988,211.45576460946853
51.95196235111601,210.3498618104116
52.36435449537586,209.26076078634932
52.769727829386895,208.1881243648738
53.16826002872178,207.1316228351494
53.56012282217895,206.09093381599632
53.945482238515105,205.06574212164475
54.32449884099444,204.0557396257572
