Antiviral,Particulas virais/uL
0.0,332.1506867552459
0.1,331.6502456104889
0.2,331.15013218996177
0.3,330.65034687457756
0.4,330.1508900447526
0.5,329.65176208039975
0.6,329.1529633609269
0.7000000000000001,328.65449426523753
0.8,328.156355171725
0.9000000000000001,327.6585464582751
1.0,327.1610685022586
1.0999999999999999,326.6639216805339
1.2,326.16710636944146
1.3,325.6706229448056
1.4000000000000001,325.17447178192805
1.5,324.6786532555897
1.6,324.18316774004614
1.7000000000000002,323.688015609027
1.8000000000000003,323.1931972357335
1.9,322.6987129928359
2.0,322.20456325247244
2.1,321.7107483862468
2.1999999999999997,321.2172687652255
2.3,320.72412475993787
2.4,320.23131674037137
2.5,319.73884507597137
2.6,319.2467101356391
2.7,318.75491228772887
2.8000000000000003,318.26345190004565
2.9000000000000004,317.77232933984567
3.0,317.2815449738313
3.1,316.7910991681504
3.2,316.3009922883942
3.3000000000000003,315.81122469959627
3.4000000000000004,315.3217967662283
3.5000000000000004,314.8327088522009
3.6000000000000005,314.3439613208589
3.6999999999999997,313.8555545349813
3.8,313.3674888567787
3.9,312.8797646478908
4.0,312.39238226938477
4.1000000000000005,311.9053420817542
4.2,311.4186444449149
4.300000000000001,310.93228971820605
4.3999999999999995,310.44627826038493
4.5,309.96061042962714
4.6,309.4752865835246
4.7,308.99030707908156
4.8,308.50567227271563
4.9,308.02138252025264
5.0,307.537438176928
5.1000000000000005,307.0538395973816
5.2,306.570587135658
5.3,306.0876811452041
5.4,305.60512197886584
5.5,305.12290998888864
5.6000000000000005,304.6410455269128
5.7,304.1595289439739
5.800000000000001,303.67836059049876
5.9,303.19754081630583
6.0,302.71706997060085
6.1,302.23694840197703
6.2,301.7571764584109
6.3,301.2777544872636
6.4,300.7986828352747
6.5,300.31996184856456
6.6000000000000005,299.8415918726294
6.7,299.3635732523402
6.800000000000001,298.8859063319419
6.9,298.4085914550501
7.000000000000001,297.93162896464946
7.1000000000000005,297.45501920309204
7.200000000000001,296.9787625120957
7.3,296.5028592327422
7.3999999999999995,296.0273097054733
7.5,295.5521142700924
7.6,295.07727326576037
7.7,294.6027870309926
7.8,294.1286559036603
7.9,293.65488022098606
8.0,293.18146031954325
8.1,292.708396535253
8.200000000000001,292.2356892033842
8.3,291.7633386585485
8.4,291.2913452347027
8.5,290.8197092651435
8.600000000000001,290.34843108250607
8.700000000000001,289.8775110187643
8.799999999999999,289.40694940522604
8.9,288.93674657253365
9.0,288.46690285066074
9.1,287.9974185689115
9.2,287.528294055917
9.3,287.05952963963534
9.4,286.5911256473489
9.5,286.12308240566205
9.6,285.6554002405005
9.700000000000001,285.1880794771081
9.8,284.72112044004683
9.9,284.2545234531928
10.0,283.7882888397361
10.100000000000001,283.32241692217775
10.200000000000001,282.85690802233006
10.3,282.39176246131143
10.4,281.9269805595475
10.5,281.4625626367682
10.6,280.99850901200625
10.7,280.5348200035937
10.8,280.0714959291638
10.9,279.60853710564527
11.0,279.145943849263
11.1,278.6837164755355
11.200000000000001,278.22185529927333
11.3,277.76036063457644
11.4,277.29923279483336
11.5,276.83847209272017
11.600000000000001,276.3780788401955
11.700000000000001,275.91805334850363
11.8,275.4583959281691
11.9,274.99910688899496
12.0,274.54018654006313
12.1,274.0816351897316
12.2,273.6234531456325
12.3,273.16564071467013
12.4,272.7081982030201
12.5,272.2511259161273
12.6,271.79442415870335
12.7,271.3380932347262
12.8,270.88213344743696
12.9,270.42654509934016
13.0,269.97132849219935
13.100000000000001,269.5164839270381
13.200000000000001,269.06201170413726
13.3,268.60791212303224
13.4,268.1541854825121
13.5,267.70083208061885
13.600000000000001,267.247852214644
13.700000000000001,266.79524618112833
13.8,266.34301427585956
13.900000000000002,265.8911567938706
14.000000000000002,265.43967402943747
14.100000000000001,264.9885662760793
14.200000000000001,264.53783382655485
14.3,264.08747697286157
14.400000000000002,263.63749600623447
14.499999999999998,263.18789121714235
14.6,262.73866289529013
14.7,262.2898113296132
14.799999999999999,261.84133680827756
14.899999999999999,261.39323961867865
15.0,260.94552004743815
15.1,260.4981783804045
15.2,260.0512149026489
15.299999999999999,259.60462989846604
15.4,259.15842365137047
15.5,258.712596444096
15.6,258.2671485585945
15.7,257.8220802760329
15.8,257.377391876793
15.9,256.9330836404693
16.0,256.48915584586763
16.1,256.045608771003
16.2,255.60244269309837
16.3,255.1596578885836
16.400000000000002,254.71725463309323
16.5,254.2752332014647
16.6,253.83359386773773
16.7,253.39233690515184
16.8,252.95146258614574
16.900000000000002,252.5109711823543
17.0,252.07086296460898
17.1,251.63113820293432
17.200000000000003,251.1917971665481
17.3,250.7528401238586
17.400000000000002,250.3142673424638
17.5,249.87607908914947
17.599999999999998,249.43827562988767
17.7,249.00085722983576
17.8,248.5638241533343
17.9,248.1271766639058
18.0,247.69091502425283
18.099999999999998,247.2550394962568
18.2,246.81955034097777
18.3,246.38444781865044
18.4,245.94973218868475
18.5,245.51540370966342
18.6,245.0814626393403
18.7,244.64790923463994
18.8,244.21474375165522
18.9,243.78196644564684
19.0,243.34957757104021
