Antiviral,Monocitos susceptiveis/uL
0.0,112.49275136234652
0.1,112.61120045561687
0.2,112.72975056464229
0.3,112.84840163026986
0.4,112.96715359279654
0.5,113.08600639196828
0.6,113.20495996697916
0.7000000000000001,113.32401425646954
0.8,113.4431691985254
0.9000000000000001,113.56242473067756
1.0,113.6817807898994
1.0999999999999999,113.80123731260704
1.2,113.92079423465732
1.3,114.04045149134687
1.4000000000000001,114.1602090174111
1.5,114.28006674702306
1.6,114.40002461379204
1.7000000000000002,114.52008255076285
1.8000000000000003,114.6402404904145
1.9,114.76049836465889
2.0,114.88085610483976
2.1,115.00131364173231
2.1999999999999997,115.12187090554052
2.3,115.24252782589755
2.4,115.36328433186398
2.5,115.48414035192648
2.6,115.60509581399718
2.7,115.72615064541235
2.8000000000000003,115.84730477293105
2.9000000000000004,115.96855812273463
3.0,116.08991062042472
3.1,116.21136219102344
3.2,116.33291275897074
3.3000000000000003,116.45456224812466
3.4000000000000004,116.57631058175936
3.5000000000000004,116.69815768256437
3.6000000000000005,116.82010347264368
3.6999999999999997,116.9421478735144
3.8,117.06429080610543
3.9,117.18653219075716
4.0,117.30887194721944
4.1000000000000005,117.43130999465129
4.2,117.55384625161943
4.300000000000001,117.67648063609727
4.3999999999999995,117.7992130654637
4.5,117.9220434565027
4.6,118.04497172540115
4.7,118.16799778774876
4.8,118.29112155853662
4.9,118.4143429521561
5.0,118.5376618823978
5.1000000000000005,118.66107826245062
5.2,118.78459200490074
5.3,118.90820302173043
5.4,119.0319112243173
5.5,119.15571652343255
5.6000000000000005,119.27961882924077
5.7,119.4036180512988
5.800000000000001,119.52771409855396
5.9,119.65190687934381
6.0,119.77619630139482
6.1,119.9005822718217
6.2,120.02506469712534
6.3,120.1496434831933
6.4,120.27431853529752
6.5,120.39908975809408
6.6000000000000005,120.52395705562188
6.7,120.64892033130151
6.800000000000001,120.7739794879349
6.9,120.89913442770339
7.000000000000001,121.02438505216757
7.1000000000000005,121.14973126226587
7.200000000000001,121.27517295831339
7.3,121.40071004000156
7.3999999999999995,121.5263424063966
7.5,121.65206995593854
7.6,121.77789258644108
7.7,121.90381019508936
7.8,122.02982267843987
7.9,122.15592993241923
8.0,122.28213185232329
8.1,122.40842833281623
8.200000000000001,122.53481926792927
8.3,122.66130455106007
8.4,122.78788407497208
8.5,122.91455773179261
8.600000000000001,123.04132541301288
8.700000000000001,123.16818700948697
8.799999999999999,123.29514241142992
8.9,123.42219150841835
9.0,123.54933418938818
9.1,123.67657034263438
9.2,123.80389985581027
9.3,123.93132261592578
9.4,124.05883850934742
9.5,124.18644742179706
9.6,124.31414923835078
9.700000000000001,124.44194384343848
9.8,124.56983112084231
9.9,124.69781095369648
10.0,124.82588322448633
10.100000000000001,124.95404781504666
10.200000000000001,125.08230460656173
10.3,125.21065347956427
10.4,125.3390943139342
10.5,125.46762698889819
10.6,125.59625138302845
10.7,125.72496737424228
10.8,125.85377483980083
10.9,125.98267365630846
11.0,126.11166369971214
11.1,126.2407448453002
11.200000000000001,126.36991696770181
11.3,126.49917994088565
11.4,126.62853363816006
11.5,126.75797793217126
11.600000000000001,126.88751269490314
11.700000000000001,127.01713779767594
11.8,127.14685311114634
11.9,127.27665850530525
12.0,127.40655384947901
12.1,127.53653901232619
12.2,127.66661386183915
12.3,127.7967782653418
12.4,127.92703208948903
12.5,128.05737520026628
12.6,128.18780746298896
12.7,128.318328742301
12.8,128.4489389021748
12.9,128.5796378059101
13.0,128.71042531613307
13.100000000000001,128.84130129479632
13.200000000000001,128.9722656031772
13.3,129.10331810187785
13.4,129.2344586508242
13.5,129.3656871092652
13.600000000000001,129.49700333577215
13.700000000000001,129.62840718823787
13.8,129.75989852387647
13.900000000000002,129.8914771992223
14.000000000000002,130.02314307012895
14.100000000000001,130.1548959917693
14.200000000000001,130.28673581863438
14.3,130.4186624045326
14.400000000000002,130.5506756025897
14.499999999999998,130.68277526524736
14.6,130.81496124426263
14.7,130.94723339070805
14.799999999999999,131.07959155497022
14.899999999999999,131.21203558674915
15.0,131.3445653350586
15.1,131.4771806482238
15.2,131.6098813738825
15.299999999999999,131.74266735898348
15.4,131.87553844978615
15.5,132.00849449185947
15.6,132.14153533008255
15.7,132.27466080864232
15.8,132.40787077103482
15.9,132.54116506006338
16.0,132.6745435178381
16.1,132.80800598577605
16.2,132.94155230460007
16.3,133.07518231433832
16.400000000000002,133.20889585432374
16.5,133.3426927631937
16.6,133.47657287888933
16.7,133.61053603865483
16.8,133.7445820790372
16.900000000000002,133.87871083588598
17.0,134.01292214435168
17.1,134.14721583888655
17.200000000000003,134.28159175324336
17.3,134.41604972047477
17.400000000000002,134.55058957293372
17.5,134.685211142272
17.599999999999998,134.81991425944017
17.7,134.9546987546873
17.8,135.08956445755976
17.9,135.22451119690206
18.0,135.35953880085495
18.099999999999998,135.49464709685603
18.2,135.62983591163888
18.3,135.76510507123274
18.4,135.90045440096185
18.5,136.03588372544596
18.6,136.17139286859816
18.7,136.30698165362625
18.8,136.44264990303134
18.9,136.5783974386081
19.0,136.71422408144352
19.1,136.85012965191763
19.2,136.98611396970196
19.3,137.12217685376046
19.400000000000002,137.25831812234776
19.5,137.3945375930101
19.6,137.53083508258433
19.7,137.66721040719725
19.8,137.8036633822663
19.900000000000002,137.94019382249857
20.0,138.07680154189006
20.1,138.21348635372658
