Antiviral,Linfocitos T/uL
0.0,4877.458761292521
0.1,4874.369812523335
0.2,4871.279820861849
0.3,4868.188790519204
0.4,4865.096725717078
0.5,4862.003630687659
0.6,4858.909509673649
0.7000000000000001,4855.814366928239
0.8,4852.718206715115
0.9000000000000001,4849.62103330844
1.0,4846.522850992829
1.0999999999999999,4843.423664063368
1.2,4840.323476825566
1.3,4837.222293595378
1.4000000000000001,4834.120118699174
1.5,4831.016956473734
1.6,4827.912811266211
1.7000000000000002,4824.807687434173
1.8000000000000003,4821.701589345541
1.9,4818.594521378603
2.0,4815.486487921973
2.1,4812.377493374622
2.1999999999999997,4809.267542145829
2.3,4806.156638655186
2.4,4803.044787332568
2.5,4799.931992618141
2.6,4796.8182589623375
2.7,4793.703590825838
2.8000000000000003,4790.587992679562
2.9000000000000004,4787.471469004671
3.0,4784.354024292512
3.1,4781.235663044646
3.2,4778.116389772826
3.3000000000000003,4774.996208998942
3.4000000000000004,4771.87512525507
3.5000000000000004,4768.753143083412
3.6000000000000005,4765.630267036281
3.6999999999999997,4762.506501676127
3.8,4759.381851575462
3.9,4756.256321316908
4.0,4753.12991549312
4.1000000000000005,4750.002638706819
4.2,4746.87449557075
4.300000000000001,4743.745490707661
4.3999999999999995,4740.615628750315
4.5,4737.484914341459
4.6,4734.353352133782
4.7,4731.220946789946
4.8,4728.087702982528
4.9,4724.953625394027
5.0,4721.818718716833
5.1000000000000005,4718.68298765323
5.2,4715.546436915349
5.3,4712.4090712251655
5.4,4709.270895314491
5.5,4706.13191392494
5.6000000000000005,4702.992131807924
5.7,4699.85155372461
5.800000000000001,4696.710184445948
5.9,4693.568028752588
6.0,4690.425091434929
6.1,4687.281377293034
6.2,4684.136891136674
6.3,4680.991637785257
6.4,4677.845622067854
6.5,4674.698848823133
6.6000000000000005,4671.551322899371
6.7,4668.403049154429
6.800000000000001,4665.254032455719
6.9,4662.10427768021
7.000000000000001,4658.95378971436
7.1000000000000005,4655.802573454156
7.200000000000001,4652.650633805051
7.3,4649.497975681962
7.3999999999999995,4646.34460400922
