Tempo,Particulas virais/uL
0.0,165.0
0.01,164.57540121579413
0.02,164.3142422490966
0.03,164.20636083785098
0.04,164.2422646067453
0.05,164.4130822108495
0.06,164.71051820636012
0.07,165.1268113361562
0.08,165.65469594768848
0.09,166.28736628729047
0.1,167.0184434387199
0.11,167.8419446949541
0.12,168.7522551712738
0.13,169.7441014847366
0.14,170.81252734048607
0.15,171.95287087916506
0.16,173.16074365217162
0.17,174.43201110276107
0.18,175.7627744411933
0.19,177.14935381136135
0.2,178.58827265471913
0.21,180.0762431849419
0.22,181.6101528936801
0.23,183.18705201407693
0.24,184.80414187447172
0.25,186.45876407996283
0.26,188.1483904643
0.27,189.87061375896397
0.28,191.6231389303063
0.29,193.40377513930167
0.3,195.2104282818368
0.31,197.0410940705552
0.32,198.89385162211713
0.33,200.76685751634392
0.34,202.65834029611463
0.35000000000000003,204.56659537908817
0.36,206.489980354354
0.37,208.42691063898232
0.38,210.3758554711643
0.39,212.33533421821753
0.4,214.30391297919135
0.41000000000000003,216.2802014631524
0.42,218.26285012547044
0.43,220.25054754556902
0.44,222.24201803066003
0.45,224.23601943095446
0.46,226.23134115274024
0.47000000000000003,228.226802356547
0.48,230.22125032838326
0.49,232.21355901273878
0.5,234.20262769669884
0.51,236.18737983512082
0.52,238.16676200738365
0.53,240.13974299673745
0.54,242.10531298376108
0.55,244.0624828458801
0.56,246.01028355531105
0.5700000000000001,247.94776566818183
0.58,249.8739988979371
0.59,251.78807176647018
0.6,253.68909132673676
0.61,255.57618295089736
0.62,257.4484901783112
0.63,259.3051746179633
0.64,261.1454159001507
0.65,262.9684116724871
0.66,264.77337763550526
0.67,266.5595476133467
0.68,268.3261736552316
0.6900000000000001,270.07252616359483
0.7000000000000001,271.7978940449607
0.71,273.50158487981247
0.72,275.1829251078861
0.73,276.8412602254911
0.74,278.47595499162867
0.75,280.0863936398412
0.76,281.6719800928899
0.77,283.23213817751423
0.78,284.76631183668667
0.79,286.2739653369278
0.8,287.75458346840276
0.81,289.2076717356694
0.8200000000000001,290.63275653709985
0.8300000000000001,292.0293853311443
0.84,293.3971267877537
0.85,294.7355709234222
0.86,296.0443292184544
0.87,297.32303471520294
0.88,298.5713420961627
0.89,299.7889277409438
0.9,300.9754897612812
0.91,302.1307480133706
0.92,303.25444408694887
0.93,304.3463412706649
0.9400000000000001,305.40622449340685
0.9500000000000001,306.4339002413733
0.96,307.42919645078865
0.97,308.3919623762756
0.98,309.3220684350027
0.99,310.21940602682713
1.0,311.08388733075105
1.01,311.9154450780988
1.02,312.71403230291247
1.03,313.47962207014206
1.04,314.2122071822836
1.05,314.9117998651881
1.06,315.5784314338296
1.07,316.21215193887883
1.08,316.81302979498145
1.09,317.3811513916892
1.1,317.91662068803095
1.11,318.41955879174924
1.12,318.8901035242556
1.1300000000000001,319.3284089723849
1.1400000000000001,319.73464502804615
1.1500000000000001,320.10899691688235
1.16,320.45166471706074
1.17,320.7628628693179
1.18,321.0428196793843
1.19,321.2917768139059
1.2,321.5099887909734
1.21,321.6977224663525
1.22,321.85525651649374
1.23,321.98288091937786
1.24,322.08089643422835
1.25,322.1496140810959
1.26,322.18935462128775
1.27,322.20044803958456
1.28,322.1832330291493
1.29,322.1544923321798
1.3,322.10987073980533
1.31,322.04576605550943
1.32,321.95906847656187
1.33,321.8471133576877
1.34,321.7076382638427
1.35,321.5387438883798
1.36,321.3388584626023
1.37,321.10670532547516
1.3800000000000001,320.84127335920505
1.3900000000000001,320.5417900283865
1.4000000000000001,320.20769678822165
1.41,319.83862665155885
1.42,319.4343837257092
1.43,318.99492454861394
1.44,318.5203410703342
1.45,318.010845140324
1.46,317.4667543737933
1.47,316.8884792818964
1.48,316.27651156067975
1.49,315.63141344285316
1.5,314.95380802464854
1.51,314.24437048741487
1.52,313.5038201402698
1.53,312.7329132161695
1.54,311.9324363592463
1.55,311.1032007462562
1.56,310.2460367895361
1.57,309.3617893730342
1.58,308.45131357679315
1.59,307.5154708487653
1.6,306.5551255860548
1.61,305.5711420906425
1.62,304.5643818673744
1.6300000000000001,303.53570123451055
1.6400000000000001,302.4859492194519
1.6500000000000001,301.41596571440635
1.6600000000000001,300.3265798687387
1.67,299.21860869658184
1.68,298.0928558799824
1.69,296.95011074942397
1.7,295.7911474250248
1.71,294.6167241030499
1.72,293.4275824736249
1.73,292.2244472566901
1.74,291.0080258442995
1.75,289.7790080383584
1.76,288.5380658738041
1.77,287.2858535180791
1.78,286.0230072385283
1.79,284.7501454300705
1.8,283.467868696162
1.81,282.17675997668437
1.82,280.877384716957
1.83,279.57029107259575
1.84,278.25601014542366
1.85,276.9350562460817
1.86,275.60792717939705
1.87,274.2751045489421
1.8800000000000001,272.93705407756175
1.8900000000000001,271.59422594096475
1.9000000000000001,270.2470551117653
1.9100000000000001,268.89596171162714
1.92,267.54135136940783
1.93,266.18361558342326
1.94,264.8231320861577
1.95,263.4602652099306
1.96,262.09536625220187
1.97,260.7287738393533
1.98,259.3608142879235
1.99,257.9918019624031
2.0,256.62203962881415
2.0100000000000002,255.25181880340247
2.02,253.8814200958672
2.0300000000000002,252.51111354663985
2.04,251.14115895780182
2.05,249.7718062173008
2.06,248.40329561618907
2.07,247.0358581586643
2.08,245.66971586474378
2.09,244.3050820654488
2.1,242.94216169041675
2.11,241.58115154789368
2.12,240.22224059709313
2.13,238.86561021293426
2.14,237.51143444319754
2.15,236.159880258158
2.16,234.81110779277455
2.17,233.46527058153055
2.18,232.1225157860348
2.19,230.7829844155037
2.2,229.44681154025614
2.21,228.1141264983601
