Antiviral,Monocitos susceptiveis/uL
0.0,112.49275136234652
0.1,112.58454971737282
0.2,112.67637497053349
0.3,112.76822701964753
0.4,112.86010576239043
0.5,112.95201109629667
0.6,113.04394291875877
0.7000000000000001,113.13590112702806
0.8,113.22788561821493
0.9000000000000001,113.3198962892893
1.0,113.41193303708135
1.0999999999999999,113.50399575828119
1.2,113.59608434943993
1.3,113.6881987069695
1.4000000000000001,113.78033872714352
1.5,113.87250430609737
1.6,113.96469533982892
1.7000000000000002,114.0569117241985
1.8000000000000003,114.14915335492942
1.9,114.24142012760886
2.0,114.33371193768748
2.1,114.42602868048036
2.1999999999999997,114.51837025116721
2.3,114.61073654479273
2.4,114.70312745626727
2.5,114.79554288036694
2.6,114.88798271173428
2.7,114.98044684487836
2.8000000000000003,115.07293517417531
2.9000000000000004,115.16544759386895
3.0,115.25798399807086
3.1,115.35054428076138
3.2,115.44312833578897
3.3000000000000003,115.5357360568718
3.4000000000000004,115.62836733759718
3.5000000000000004,115.72102207142271
3.6000000000000005,115.81370015167668
3.6999999999999997,115.90640147155749
3.8,115.99912592413553
3.9,116.09187340235233
4.0,116.1846437990222
4.1000000000000005,116.27743700683128
4.2,116.37025291833928
4.300000000000001,116.46309142597886
4.3999999999999995,116.55595242205676
4.5,116.64883579875402
4.6,116.74174144812626
4.7,116.83466926210414
4.8,116.92761913249434
4.9,117.0205909509789
5.0,117.11358460911687
5.1000000000000005,117.20659999834388
5.2,117.29963700997276
5.3,117.3926955351946
5.4,117.48577546507825
5.5,117.57887669057142
5.6000000000000005,117.67199910250072
5.7,117.76514259157247
5.800000000000001,117.8583070483731
5.9,117.95149236336894
6.0,118.04469842690794
6.1,118.1379251292189
6.2,118.23117236041278
6.3,118.32444001048216
6.4,118.41772796930297
6.5,118.51103612663398
6.6000000000000005,118.60436437211757
6.7,118.69771259528038
6.800000000000001,118.7910806855334
6.9,118.88446853217263
7.000000000000001,118.97787602437961
7.1000000000000005,119.07130305122173
7.200000000000001,119.16474950165264
7.3,119.25821526451328
7.3999999999999995,119.35170022853144
7.5,119.44520428232269
7.6,119.53872731439115
7.7,119.63226921312959
7.8,119.72582986681978
7.9,119.81940916363335
8.0,119.91300699163179
8.1,120.0066232387677
8.200000000000001,120.10025779288416
8.3,120.1939105417164
8.4,120.28758137289122
8.5,120.38127017392817
8.600000000000001,120.47497683223955
8.700000000000001,120.56870123513154
8.799999999999999,120.66244326980417
8.9,120.75620282335166
9.0,120.84997978276344
9.1,120.94377403492427
9.2,121.03758546661457
9.3,121.13141396451171
9.4,121.22525941518929
9.5,121.31912170511876
9.6,121.41300072066922
9.700000000000001,121.5068963481082
9.8,121.60080847360209
9.9,121.6947369832164
10.0,121.78868176291682
10.100000000000001,121.88264269856911
10.200000000000001,121.97661967593992
10.3,122.07061258069737
