Antiviral,Linfocitos T/uL
0.0,4877.458761292521
0.1,4876.629103496313
0.2,4875.799685760188
0.3,4874.970508103235
0.4,4874.141570544419
0.5,4873.312873102573
0.6,4872.484415796384
0.7000000000000001,4871.656198644402
0.8,4870.828221665044
0.9000000000000001,4870.0004848765975
1.0,4869.172988297207
1.0999999999999999,4868.345731944883
1.2,4867.518715837487
1.3,4866.69193999276
1.4000000000000001,4865.865404428322
1.5,4865.039109161626
1.6,4864.213054209999
1.7000000000000002,4863.38723959065
1.8000000000000003,4862.561665320631
1.9,4861.736331416877
2.0,4860.91123789618
2.1,4860.086384775198
2.1999999999999997,4859.261772070454
2.3,4858.437399798332
2.4,4857.613267975101
2.5,4856.789376616874
2.6,4855.965725739641
2.7,4855.142315359256
2.8000000000000003,4854.319145491452
2.9000000000000004,4853.496216151807
3.0,4852.673527355777
3.1,4851.851079118688
3.2,4851.028871455729
3.3000000000000003,4850.206904381954
3.4000000000000004,4849.385177912293
3.5000000000000004,4848.563692061541
3.6000000000000005,4847.742446844346
3.6999999999999997,4846.921442275245
3.8,4846.100678368638
3.9,4845.280155138784
4.0,4844.459872599824
4.1000000000000005,4843.639830765742
4.2,4842.820029650422
4.300000000000001,4842.000469267606
4.3999999999999995,4841.181149630892
4.5,4840.36207075377
4.6,4839.5432326495775
4.7,4838.724635331525
4.8,4837.906278812718
4.9,4837.0881631060965
5.0,4836.270288224491
5.1000000000000005,4835.452654180598
5.2,4834.6352609869755
5.3,4833.818108656072
5.4,4833.001197200188
5.5,4832.1845266314995
5.6000000000000005,4831.368096962055
5.7,4830.551908203773
5.800000000000001,4829.735960368444
5.9,4828.920253467737
6.0,4828.104787513176
6.1,4827.289562516166
6.2,4826.474578487981
6.3,4825.659835439776
6.4,4824.8453333825655
6.5,4824.031072327246
6.6000000000000005,4823.217052284568
6.7,4822.403273265186
6.800000000000001,4821.589735279594
6.9,4820.776438338189
7.000000000000001,4819.963382451217
7.1000000000000005,4819.1505676288025
7.200000000000001,4818.337993880949
7.3,4817.525661217533
7.3999999999999995,4816.713569648295
7.5,4815.9017191828625
7.6,4815.090109830736
7.7,4814.278741601265
7.8,4813.467614503714
7.9,4812.656728547183
8.0,4811.846083740668
8.1,4811.035680093039
8.200000000000001,4810.225517613037
8.3,4809.415596309266
8.4,4808.605916190228
8.5,4807.796477264279
8.600000000000001,4806.987279539662
8.700000000000001,4806.1783230244955
