Antiviral,Particulas virais/uL
0.0,332.1506867552459
0.1,331.9270854123537
0.2,331.70364875537126
0.3,331.48037665233505
0.4,331.25726897139634
0.5,331.0343255808227
0.6,330.8115463489963
0.7000000000000001,330.5889311444156
0.8,330.3664798356927
0.9000000000000001,330.1441922915553
1.0,329.9220683808461
1.0999999999999999,329.7001079725223
1.2,329.47831093565566
1.3,329.2566771394325
1.4000000000000001,329.03520645315365
1.5,328.81389874623443
1.6,328.59275388820276
1.7000000000000002,328.3717717487035
1.8000000000000003,328.1509521974927
1.9,327.9302951044419
2.0,327.70980033953623
2.1,327.489467772873
2.1999999999999997,327.26929727466546
2.3,327.0492887152387
2.4,326.82944196503024
2.5,326.6097568945935
2.6,326.39023337459287
2.7,326.17087127580646
2.8000000000000003,325.9516704691244
2.9000000000000004,325.7326308255516
3.0,325.51375221620333
3.1,325.2950345123092
3.2,325.07647758520983
3.3000000000000003,324.85808130635934
3.4000000000000004,324.63984554732355
3.5000000000000004,324.42177017978065
3.6000000000000005,324.2038550755203
3.6999999999999997,323.9861001064448
3.8,323.7685051445677
3.9,323.55107006201484
4.0,323.3337947310231
4.1000000000000005,323.1166790239414
4.2,322.89972281322923
4.300000000000001,322.6829259714584
4.3999999999999995,322.4662883713106
4.5,322.2498098855802
4.6,322.0334903871716
4.7,321.81732974909994
4.8,321.60132784449144
4.9,321.38548454658263
5.0,321.1697997287211
5.1000000000000005,320.9542732643646
5.2,320.7389050270814
5.3,320.5236948905497
5.4,320.3086427285575
5.5,320.09374841500403
5.6000000000000005,319.87901182389766
5.7,319.6644328293563
5.800000000000001,319.45001130560775
5.9,319.2357471269899
6.0,319.0216401679498
6.1,318.80769030304435
6.2,318.5938974069382
6.3,318.3802613544071
6.4,318.16678202033506
6.5,317.9534592797152
6.6000000000000005,317.74029300764937
6.7,317.52728307934774
6.800000000000001,317.31442937013014
6.9,317.1017317554246
7.000000000000001,316.8891901107677
7.1000000000000005,316.6768043118039
7.200000000000001,316.4645742342858
7.3,316.2524997540759
7.3999999999999995,316.04058074714214
7.5,315.8288170895626
7.6,315.6172086575224
7.7,315.4057553273137
7.8,315.19445697533786
7.9,314.98331347810256
8.0,314.77232471222277
8.1,314.56149055442216
8.200000000000001,314.350810881531
8.3,314.1402855704854
8.4,313.9299144983305
8.5,313.71969754221766
8.600000000000001,313.50963457940395
8.700000000000001,313.2997254872553
8.799999999999999,313.08997014324274
8.9,312.88036842494415
9.0,312.67092021004373
9.1,312.4616253763332
9.2,312.2524838017082
9.3,312.0434953641726
9.4,311.8346599418356
9.5,311.6259774129127
9.6,311.41744765572366
9.700000000000001,311.20907054869616
9.8,311.0008459703618
9.9,310.7927737993589
10.0,310.5848539144304
10.100000000000001,310.3770861944252
10.200000000000001,310.1694705182971
10.3,309.962006765104
10.4,309.7546948140116
10.5,309.54753454428806
10.6,309.34052583530666
10.7,309.1336685665463
10.8,308.9269626175906
10.9,308.7204078681269
11.0,308.5140041979471
11.1,308.30775148694784
11.200000000000001,308.1016496151296
11.3,307.89569846259764
11.4,307.6898979095607
11.5,307.48424783633186
11.600000000000001,307.27874812332675
11.700000000000001,307.0733986510676
11.8,306.86819930017737
11.9,306.6631499513835
12.0,306.4582504855177
12.1,306.2535007835148
12.2,306.04890072641183
12.3,305.84445019534934
12.4,305.6401490715725
12.5,305.43599723642757
12.6,305.23199457136457
12.7,305.02814095793576
12.8,304.82443627779696
12.9,304.62088041270533
13.0,304.41747324452194
13.100000000000001,304.2142146552092
13.200000000000001,304.011104526832
13.3,303.8081427415577
13.4,303.605329181656
13.5,303.4026637294976
13.600000000000001,303.2001462675564
13.700000000000001,302.99777667840664
13.8,302.7955548447261
13.900000000000002,302.59348064929196
14.000000000000002,302.3915539749849
14.100000000000001,302.1897747047862
14.200000000000001,301.98814272177856
14.3,301.7866579091457
14.400000000000002,301.5853201501723
14.499999999999998,301.3841293282452
14.6,301.1830853268511
14.7,300.98218802957757
14.799999999999999,300.7814373201135
14.899999999999999,300.5808330822486
15.0,300.38037519987245
15.1,300.1800635569749
15.2,299.97989803764716
15.299999999999999,299.77987852608044
15.4,299.5800049065656
15.5,299.38027706349396
15.6,299.1806948813566
15.7,298.9812582447458
15.8,298.78196703835124
15.9,298.5828211469644
16.0,298.38382045547564
16.1,298.1849648488746
16.2,297.98625421225097
16.3,297.78768843079274
16.400000000000002,297.5892673897888
16.5,297.39099097462497
16.6,297.19285907078876
16.7,296.9948715638648
16.8,296.7970283395366
16.900000000000002,296.5993292835877
17.0,296.4017742818989
17.1,296.2043632204504
17.200000000000003,296.00709598532126
17.3,295.80997246268765
17.400000000000002,295.612992538826
17.5,295.41615610010894
17.599999999999998,295.2194630330087
17.7,295.02291322409434
17.8,294.82650656003386
17.9,294.630242927593
18.0,294.434122213635
18.099999999999998,294.23814430512044
18.2,294.04230908910773
18.3,293.84661645275355
18.4,293.6510662833109
18.5,293.45565846813065
18.6,293.2603928946608
18.7,293.065269450446
18.8,292.870288023129
18.9,292.6754485004484
19.0,292.4807507702402
19.1,292.2861947204371
19.2,292.0917802390683
19.3,291.89750721425975
19.400000000000002,291.70337553423417
19.5,291.50938508730974
19.6,291.3155357619016
19.7,291.12182744652137
19.8,290.92826002977625
19.900000000000002,290.73483340036984
20.0,290.54154744710144
20.1,290.3484020588665
20.200000000000003,290.1553971246554
20.3,289.9625325335553
20.400000000000002,289.76980817474845
20.5,289.5772239375129
20.6,289.3847797112212
20.700000000000003,289.1924753853419
20.8,289.00031084943885
20.9,288.8082859931711
21.0,288.6164007062918
21.099999999999998,288.42465487865064
21.2,288.23304840019085
21.3,288.04158116095067
21.4,287.85025305106365
21.5,287.65906396075763
21.6,287.4680137803545
21.7,287.27710240027136
21.8,287.0863297110192
21.9,286.89569560320246
22.0,286.7051999675214
22.1,286.51484269476947
22.2,286.3246236758334
22.3,286.1345428016955
22.400000000000002,285.9445999634306
22.5,285.7547950522076
22.6,285.56512795928853
22.7,285.3755985760298
22.8,285.1862067938811
22.900000000000002,284.9969525043848
23.0,284.8078355991773
23.1,284.6188559699879
23.200000000000003,284.4300135086391
23.3,284.2413081070463
23.400000000000002,284.05273965721767
23.5,283.8643080512546
23.6,283.67601318135087
23.700000000000003,283.48785493979375
23.8,283.2998332189614
23.900000000000002,283.1119479113259
24.0,282.92419890945143
24.099999999999998,282.73658610599466
24.2,282.54910939370365
24.3,282.36176866542
24.4,282.1745638140756
24.5,281.9874947326958
24.6,281.80056131439704
24.7,281.6137634523883
24.8,281.4271010399691
24.9,281.24057397053184
25.0,281.0541821375597
25.1,280.8679254346272
25.2,280.6818037554012
25.3,280.4958169936388
25.4,280.30996504318875
25.5,280.12424779799073
25.6,279.9386651520762
25.7,279.75321699956567
25.8,279.56790323467317
25.900000000000002,279.382723751701
26.0,279.197678445044
26.1,279.01276720918645
26.200000000000003,278.8279899387043
26.3,278.643346528262
26.400000000000002,278.4588368726161
26.5,278.2744608666132
26.6,278.09021840518966
26.700000000000003,277.90610938337176
26.8,277.72213369627605
26.900000000000002,277.53829123910924
27.0,277.35458190716713
27.1,277.1710055958367
27.200000000000003,276.9875622005928
27.3,276.8042516170015
27.400000000000002,276.6210737407172
27.500000000000004,276.4380284674838
27.6,276.2551156931359
27.700000000000003,276.07233531359594
27.800000000000004,275.8896872248756
27.900000000000002,275.7071713230767
28.000000000000004,275.5247875043883
28.1,275.34253566509074
28.200000000000003,275.1604157015512
28.300000000000004,274.9784275102264
28.400000000000002,274.79657098766177
28.500000000000004,274.6148460304908
28.6,274.43325253543657
28.700000000000003,274.25179039930964
28.800000000000004,274.0704595190091
28.9,273.8892597915226
28.999999999999996,273.70819111392564
29.099999999999998,273.52725338338223
29.2,273.3464464971435
29.299999999999997,273.1657703525497
29.4,272.9852248470277
29.5,272.80480987809364
29.599999999999998,272.62452534334955
29.7,272.44437114048685
29.799999999999997,272.26434716728335
29.9,272.08445332160403
30.0,271.9046895014028
30.099999999999998,271.7250556047186
30.2,271.5455515296794
30.3,271.36617717449997
30.4,271.1869324374816
30.5,271.0078172170121
30.599999999999998,270.8288314115673
30.7,270.6499749197093
30.8,270.471247640087
30.9,270.292649471436
31.0,270.1141803125776
31.1,269.9358400624202
31.2,269.7576286199593
31.3,269.57954588427606
31.4,269.4015917545371
31.5,269.22376612999614
31.6,269.046068909993
31.7,268.86849999395315
31.8,268.6910592813879
31.900000000000002,268.51374667189407
32.0,268.33656206515553
32.1,268.15950536094016
32.2,267.98257645910275
32.300000000000004,267.8057752595822
32.4,267.6291016624045
32.5,267.4525555676797
32.6,267.27613687560387
32.7,267.0998454864577
32.800000000000004,266.92368130060703
32.9,266.7476442185036
33.0,266.57173414068194
33.1,266.39595096776446
33.2,266.22029460045604
33.300000000000004,266.0447649395475
33.4,265.8693618859138
33.5,265.6940853405134
33.6,265.5189352043916
33.7,265.3439113786761
33.800000000000004,265.16901376457986
33.900000000000006,264.99424226339966
34.0,264.8195967765169
34.1,264.6450772053962
34.2,264.470683451587
34.300000000000004,264.29641541672254
34.400000000000006,264.12227300251965
34.5,263.94825611077914
34.6,263.77436464338507
34.7,263.6005985023056
34.800000000000004,263.4269575895922
34.900000000000006,263.25344180738
35.0,263.08005105788743
35.1,262.90678524341547
35.199999999999996,262.7336442663496
35.3,262.5606280291578
35.4,262.3877364343913
35.5,262.21496938468334
35.6,262.0423267827517
35.699999999999996,261.869808531396
35.8,261.6974145334985
35.9,261.52514469202464
36.0,261.35299891002245
36.1,261.18097709062175
36.199999999999996,261.00907913703645
36.3,260.8373049525601
36.4,260.6656544405718
36.5,260.4941275045301
36.6,260.3227240479774
36.7,260.15144397453764
36.8,259.9802871879164
36.9,259.8092535919018
37.0,259.63834309036326
37.1,259.4675555872521
37.2,259.29689098660236
37.3,259.1263491925273
37.4,258.9559301092238
37.5,258.7856336409699
37.6,258.61545969212455
37.7,258.4454081671276
37.8,258.27547897050135
37.9,258.105672006848
38.0,257.9359871808519
38.1,257.76642439727794
38.2,257.596983560971
38.3,257.42766457685894
38.4,257.2584673499485
38.5,257.08939178532785
38.6,256.9204377881656
38.7,256.75160526371167
38.800000000000004,256.5828941172955
38.9,256.41430425432696
39.0,256.245835580297
39.1,256.0774880007761
39.2,255.90926142141555
39.300000000000004,255.74115574794627
39.4,255.57317088617916
39.5,255.4053067420057
39.6,255.23756322139639
39.7,255.06994023040255
39.800000000000004,254.90243767515398
39.900000000000006,254.73505546186135
40.0,254.56779349681403
40.1,254.4006516863814
40.2,254.23362993701244
40.300000000000004,254.06672815523484
40.400000000000006,253.89994624765632
40.5,253.7332841209626
40.6,253.56674168192038
40.7,253.40031883737421
40.800000000000004,253.2340154942476
40.900000000000006,253.06783155954332
41.0,252.90176694034295
41.1,252.73582154380722
41.2,252.5699952771746
41.300000000000004,252.40428804776303
41.400000000000006,252.23869976296902
41.5,252.07323033026702
41.6,251.90787965721
41.699999999999996,251.74264765142996
41.8,251.577534220636
41.9,251.41253927261687
42.0,251.2476627152384
42.1,251.08290445644394
42.199999999999996,250.91826440425677
