Antiviral,Monocitos infectados/uL
0.0,18.97522766661366
0.1,18.970822101535266
0.2,18.966415462298166
0.3,18.962007751373267
0.4,18.95759897122992
0.5,18.953189124336003
0.6,18.94877821315779
0.7000000000000001,18.94436624016021
0.8,18.939953207806507
0.9000000000000001,18.935539118558403
1.0,18.931123974876236
1.0999999999999999,18.926707779218656
1.2,18.922290534042922
1.3,18.917872241804698
1.4000000000000001,18.913452904958106
1.5,18.909032525955798
1.6,18.904611107248844
1.7000000000000002,18.900188651286843
1.8000000000000003,18.895765160517783
1.9,18.89134063738822
2.0,18.886915084343116
2.1,18.882488503825897
2.1999999999999997,18.878060898278477
2.3,18.873632270141307
2.4,18.869202621853137
2.5,18.86477195585132
2.6,18.860340274571687
2.7,18.85590758044844
2.8000000000000003,18.851473875914216
2.9000000000000004,18.847039163400318
3.0,18.842603445336298
3.1,18.838166724150284
3.2,18.8337290022688
3.3000000000000003,18.82929028211691
3.4000000000000004,18.824850566118062
3.5000000000000004,18.82040985669422
3.6000000000000005,18.815968156265725
3.6999999999999997,18.811525467251517
3.8,18.807081792068832
3.9,18.802637133133466
4.0,18.79819149285962
4.1000000000000005,18.793744873660042
4.2,18.789297277945806
4.300000000000001,18.784848708126514
4.3999999999999995,18.780399166610202
4.5,18.775948655803372
4.6,18.771497178110987
4.7,18.76704473593645
4.8,18.76259133168159
4.9,18.758136967746708
5.0,18.753681646530545
5.1000000000000005,18.74922537043035
5.2,18.74476814184171
5.3,18.740309963158776
5.4,18.735850836774038
5.5,18.731390765078526
5.6000000000000005,18.726929750461686
5.7,18.72246779531137
5.800000000000001,18.718004902013927
5.9,18.71354107295409
6.0,18.709076310515112
6.1,18.70461061707866
6.2,18.7001439950248
6.3,18.6956764467321
6.4,18.69120797457754
6.5,18.686738580936563
6.6000000000000005,18.68226826818303
6.7,18.677797038689214
6.800000000000001,18.67332489482588
6.9,18.668851838962222
7.000000000000001,18.664377873465874
7.1000000000000005,18.65990300070289
7.200000000000001,18.65542722303771
7.3,18.650950542833368
7.3999999999999995,18.64647296245116
7.5,18.641994484250926
7.6,18.637515110590876
7.7,18.633034843827726
7.8,18.628553686316558
7.9,18.624071640410904
8.0,18.619588708462757
8.1,18.615104892822515
8.200000000000001,18.610620195839044
8.3,18.606134619859574
8.4,18.60164816722984
8.5,18.59716084029395
8.600000000000001,18.59267264139445
8.700000000000001,18.588183572872364
8.799999999999999,18.583693637067093
8.9,18.579202836316494
9.0,18.574711172956828
9.1,18.57021864932282
9.2,18.565725267747553
9.3,18.561231030562592
9.4,18.556735940097976
9.5,18.552239998682076
9.6,18.54774320864168
9.700000000000001,18.54324557230209
9.8,18.538747091986966
9.9,18.534247770018432
10.0,18.529747608716953
10.100000000000001,18.525246610401556
10.200000000000001,18.520744777389567
10.3,18.516242111996743
10.4,18.51173861653733
10.5,18.507234293324
10.6,18.50272914466772
10.7,18.498223172878014
10.8,18.493716380262764
10.9,18.48920876912831
11.0,18.484700341779316
11.1,18.480191100518955
11.200000000000001,18.47568104764879
11.3,18.471170185468804
11.4,18.46665851627741
11.5,18.462146042371405
11.600000000000001,18.45763276604596
11.700000000000001,18.453118689594827
11.8,18.448603815310005
11.9,18.444088145481935
12.0,18.43957168239955
12.1,18.435054428350163
12.2,18.430536385619465
12.3,18.42601755649153
12.4,18.421497943248998
12.5,18.41697754817273
12.6,18.412456373542145
12.7,18.407934421634998
12.8,18.403411694727478
12.9,18.398888195094145
13.0,18.394363925008076
13.100000000000001,18.3898388867406
13.200000000000001,18.38531308256157
13.3,18.380786514739246
13.4,18.376259185540263
13.5,18.371731097229652
13.600000000000001,18.36720225207089
13.700000000000001,18.362672652325806
13.8,18.358142300254695
13.900000000000002,18.353611198116212
14.000000000000002,18.349079348167464
14.100000000000001,18.344546752663934
14.200000000000001,18.340013413859555
14.3,18.335479334006575
14.400000000000002,18.330944515355668
14.499999999999998,18.32640896015602
14.6,18.32187267065512
14.7,18.317335649098876
14.799999999999999,18.312797897731595
14.899999999999999,18.308259418796037
15.0,18.303720214533325
15.1,18.299180287182963
15.2,18.29463963898287
15.299999999999999,18.29009827216944
15.4,18.285556188977353
15.5,18.281013391639746
15.6,18.27646988238818
15.7,18.271925663452606
15.8,18.267380737061316
15.9,18.26283510544109
16.0,18.258288770817025
16.1,18.253741735412707
16.2,18.24919400145003
16.3,18.244645571149345
16.400000000000002,18.240096446729382
16.5,18.235546630407228
16.6,18.230996124398484
16.7,18.22644493091705
16.8,18.221893052175222
16.900000000000002,18.21734049038376
17.0,18.21278724775173
17.1,18.208233326486685
17.200000000000003,18.203678728794518
17.3,18.199123456879512
17.400000000000002,18.19456751294445
17.5,18.190010899190316
17.599999999999998,18.18545361781671
17.7,18.180895671021375
17.8,18.176337061000726
17.9,18.17177778994936
18.0,18.167217860060376
18.099999999999998,18.162657273525248
18.2,18.158096032533752
18.3,18.153534139274203
18.4,18.148971595933265
18.5,18.144408404695874
18.6,18.139844567745566
18.7,18.13528008726407
18.8,18.130714965431633
18.9,18.12614920442686
19.0,18.121582806426733
19.1,18.117015773606628
19.2,18.11244810814034
19.3,18.107879812200014
19.400000000000002,18.103310887956205
19.5,18.098741337577913
19.6,18.09417116323235
19.7,18.089600367085357
19.8,18.085028951301005
19.900000000000002,18.080456918041808
20.0,18.07588426946865
20.1,18.071311007740803
20.200000000000003,18.066737135015973
20.3,18.062162653450184
20.400000000000002,18.057587565197903
20.5,18.053011872411982
20.6,18.04843557724361
20.700000000000003,18.04385868184241
20.8,18.039281188356384
20.9,18.034703098931946
