Antiviral,Monocitos susceptiveis/uL
0.0,112.49275136234652
0.1,112.52946668451334
0.2,112.566175172823
0.3,112.60287682301741
0.4,112.63957163084564
0.5,112.6762595920635
0.6,112.71294070243357
0.7000000000000001,112.74961495772583
0.8,112.78628235371676
0.9000000000000001,112.82294288618971
1.0,112.85959655093535
1.0999999999999999,112.89624334375057
1.2,112.93288326043972
1.3,112.96951629681381
1.4000000000000001,113.00614244869091
1.5,113.04276171189547
1.6,113.07937408225943
1.7000000000000002,113.11597955562124
1.8000000000000003,113.15257812782609
1.9,113.18916979472644
2.0,113.22575455218133
2.1,113.26233239605676
2.1999999999999997,113.29890332222516
2.3,113.33546732656659
2.4,113.3720244049673
2.5,113.40857455332039
2.6,113.44511776752633
2.7,113.4816540434919
2.8000000000000003,113.51818337713073
2.9000000000000004,113.55470576436353
3.0,113.59122120111772
3.1,113.62772968332719
3.2,113.66423120693321
3.3000000000000003,113.70072576788347
3.4000000000000004,113.73721336213245
3.5000000000000004,113.77369398564177
3.6000000000000005,113.81016763437908
3.6999999999999997,113.84663430431983
3.8,113.8830939914455
3.9,113.91954669174453
4.0,113.95599240121203
4.1000000000000005,113.99243111585017
4.2,114.02886283166771
4.300000000000001,114.06528754468006
4.3999999999999995,114.10170525090953
4.5,114.13811594638517
4.6,114.17451962714254
4.7,114.21091628922429
4.8,114.24730592867964
4.9,114.28368854156442
5.0,114.32006412394131
5.1000000000000005,114.35643267187986
5.2,114.39279418145578
5.3,114.4291486487522
5.4,114.46549606985872
5.5,114.50183644087124
5.6000000000000005,114.53816975789283
5.7,114.57449601703311
5.800000000000001,114.6108152144085
5.9,114.64712734614173
6.0,114.68343240836245
6.1,114.71973039720717
6.2,114.75602130881882
6.3,114.79230513934718
6.4,114.82858188494839
6.5,114.8648515417856
6.6000000000000005,114.90111410602842
6.7,114.93736957385315
6.800000000000001,114.97361794144271
6.9,115.00985920498671
7.000000000000001,115.04609336068138
7.1000000000000005,115.0823204047296
7.200000000000001,115.11854033334082
7.3,115.15475314273105
7.3999999999999995,115.19095882912335
7.5,115.22715738874668
7.6,115.26334881783708
7.7,115.29953311263733
7.8,115.33571026939642
7.9,115.37188028437001
8.0,115.40804315382069
8.1,115.44419887401719
8.200000000000001,115.48034744123512
