Antiviral,Linfocitos T/uL
0.0,4877.458761292521
0.1,4875.330478480596
0.2,4873.202372145713
0.3,4871.074444566603
0.4,4868.94669802167
0.5,4866.819134789021
0.6,4864.69175714643
0.7000000000000001,4862.564567371315
0.8,4860.43756774078
0.9000000000000001,4858.310760531541
1.0,4856.1841480199655
1.0999999999999999,4854.057732482012
1.2,4851.931516193283
1.3,4849.8055014289575
1.4000000000000001,4847.679690463803
1.5,4845.554085572162
1.6,4843.428689027963
1.7000000000000002,4841.3035031046575
1.8000000000000003,4839.178530075262
1.9,4837.053772212335
2.0,4834.929231787925
2.1,4832.804911073631
2.1999999999999997,4830.680812340536
2.3,4828.556937859203
2.4,4826.433289899694
2.5,4824.309870731534
2.6,4822.1866826237
2.7,4820.063727844636
2.8000000000000003,4817.941008662197
2.9000000000000004,4815.818527343686
3.0,4813.696286155807
3.1,4811.574287364688
3.2,4809.4525332358335
3.3000000000000003,4807.331026034138
3.4000000000000004,4805.2097680238785
3.5000000000000004,4803.088761468681
3.6000000000000005,4800.968008631527
3.6999999999999997,4798.847511774754
3.8,4796.7272731600115
3.9,4794.607295048272
4.0,4792.487579699832
4.1000000000000005,4790.3681293742675
4.2,4788.248946330455
4.300000000000001,4786.130032826542
4.3999999999999995,4784.011391119961
4.5,4781.893023467375
4.6,4779.774932124702
4.7,4777.657119347103
4.8,4775.539587388955
4.9,4773.422338503855
5.0,4771.305374944602
5.1000000000000005,4769.188698963183
5.2,4767.0723128107675
5.3,4764.956218737701
5.4,4762.840418993499
5.5,4760.724915826803
5.6000000000000005,4758.609711485421
5.7,4756.494808216263
5.800000000000001,4754.380208265392
5.9,4752.265913877938
6.0,4750.15192729817
6.1,4748.038250769416
6.2,4745.924886534098
6.3,4743.811836833684
6.4,4741.699103908724
6.5,4739.586689998792
6.6000000000000005,4737.474597342494
6.7,4735.362828177488
6.800000000000001,4733.251384740417
6.9,4731.140269266938
7.000000000000001,4729.029483991713
7.1000000000000005,4726.919031148356
7.200000000000001,4724.808912969486
7.3,4722.699131686663
7.3999999999999995,4720.589689530411
7.5,4718.4805887301745
7.6,4716.371831514356
7.7,4714.26342011025
7.8,4712.155356744085
7.9,4710.047643640976
8.0,4707.940283024912
8.1,4705.833277118798
8.200000000000001,4703.72662814437
8.3,4701.620338322245
8.4,4699.514409871877
8.5,4697.40884501156
8.600000000000001,4695.303645958411
8.700000000000001,4693.198814928364
8.799999999999999,4691.094354136169
8.9,4688.990265795354
9.0,4686.886552118249
9.1,4684.783215315948
9.2,4682.680257598311
9.3,4680.577681173967
9.4,4678.475488250261
9.5,4676.373681033303
9.6,4674.272261727902
9.700000000000001,4672.171232537603
9.8,4670.0705956646325
9.9,4667.970353309926
10.0,4665.870507673096
10.100000000000001,4663.771060952425
10.200000000000001,4661.672015344863
10.3,4659.573373046014
10.4,4657.475136250124
10.5,4655.377307150065
10.6,4653.279887937328
10.7,4651.18288080204
10.8,4649.086287932897
10.9,4646.990111517213
11.0,4644.89435374088
11.1,4642.799016788346
11.200000000000001,4640.704102842627
11.3,4638.609614085302
11.4,4636.51555269649
11.5,4634.421920854821
11.600000000000001,4632.328720737474
11.700000000000001,4630.2359545201225
11.8,4628.143624376941
11.9,4626.051732480609
12.0,4623.9602810022825
12.1,4621.869272111582
12.2,4619.778707976596
12.3,4617.688590763867
12.4,4615.5989226383645
12.5,4613.509705763524
12.6,4611.420942301161
12.7,4609.332634411538
12.8,4607.244784253299
12.9,4605.157393983497
13.0,4603.07046575755
13.100000000000001,4600.984001729265
13.200000000000001,4598.89800405081
13.3,4596.812474872697
13.4,4594.727416343794
13.5,4592.64283061129
13.600000000000001,4590.558719820719
13.700000000000001,4588.475086115905
13.8,4586.391931638996
13.900000000000002,4584.309258530423
14.000000000000002,4582.227068928909
14.100000000000001,4580.145364971463
14.200000000000001,4578.064148793338
14.3,4575.983422528063
14.400000000000002,4573.903188307404
14.499999999999998,4571.823448261364
14.6,4569.74420451819
14.7,4567.665459204326
14.799999999999999,4565.587214444436
14.899999999999999,4563.50947236138
15.0,4561.432235076211
15.1,4559.355504708168
15.2,4557.279283374648
15.299999999999999,4555.2035731912165
15.4,4553.128376271593
15.5,4551.053694727627
15.6,4548.979530669323
15.7,4546.905886204793
15.8,4544.832763440271
15.9,4542.760164480086
16.0,4540.688091426669
16.1,4538.616546380546
16.2,4536.545531440312
16.3,4534.475048702622
16.400000000000002,4532.405100262196
16.5,4530.335688211818
16.6,4528.266814642288
16.7,4526.198481642451
16.8,4524.130691299158
16.900000000000002,4522.0634456972975
17.0,4519.996746919743
17.1,4517.930597047361
17.200000000000003,4515.864998159019
17.3,4513.799952331538
17.400000000000002,4511.73546163973
17.5,4509.671528156337
17.599999999999998,4507.608153952081
17.7,4505.545341095587
17.8,4503.483091653444
17.9,4501.421407690137
18.0,4499.360291268084
18.099999999999998,4497.299744447595
18.2,4495.23976928687
18.3,4493.180367842008
18.4,4491.121542166971
18.5,4489.063294313595
18.6,4487.005626331579
18.7,4484.948540268466
18.8,4482.89203816964
18.9,4480.836122078311
19.0,4478.780794035535
19.1,4476.726056080156
19.2,4474.6719102488405
19.3,4472.618358576046
19.400000000000002,4470.565403094018
19.5,4468.513045832786
19.6,4466.4612888201455
19.7,4464.410134081656
19.8,4462.359583640626
19.900000000000002,4460.309639518121
20.0,4458.260303732934
20.1,4456.211578301588
20.200000000000003,4454.163465238323
20.3,4452.115966555093
20.400000000000002,4450.069084261554
20.5,4448.022820365049
20.6,4445.977176870611
20.700000000000003,4443.932155780958
20.8,4441.887759096471
20.9,4439.843988815178
21.0,4437.800846932777
21.099999999999998,4435.758335442586
21.2,4433.716456335593
21.3,4431.675211600383
21.4,4429.634603223162
21.5,4427.594633187764
21.6,4425.555303475597
21.7,4423.516616065687
21.8,4421.478572934639
21.9,4419.441176056628
22.0,4417.404427403393
22.1,4415.368328944249
22.2,4413.332882646058
22.3,4411.298090473212
22.400000000000002,4409.263954387661
22.5,4407.230476348875
22.6,4405.197658313827
22.7,4403.16550223703
22.8,4401.134010070483
22.900000000000002,4399.103183763686
23.0,4397.0730252636195
23.1,4395.043536514759
23.200000000000003,4393.014719459042
23.3,4390.986576035864
23.400000000000002,4388.9591081820945
23.5,4386.932317832035
23.6,4384.906206917437
23.700000000000003,4382.880777367474
23.8,4380.8560311087695
23.900000000000002,4378.831970065321
24.0,4376.80859615859
24.099999999999998,4374.785911307389
24.2,4372.763917427953
24.3,4370.742616433898
24.4,4368.722010236217
24.5,4366.702100743282
24.6,4364.682889860807
24.7,4362.6643794918855
24.8,4360.646571536945
24.9,4358.629467893767
25.0,4356.613070457452
25.1,4354.597381120434
25.2,4352.582401772466
25.3,4350.568134300606
25.4,4348.55458058922
25.5,4346.54174251997
25.6,4344.529621971815
25.7,4342.518220820976
25.8,4340.5075409409665
25.900000000000002,4338.497584202547
26.0,4336.488352473769
26.1,4334.479847619907
26.200000000000003,4332.47207150349
26.3,4330.465025984293
26.400000000000002,4328.458712919308
26.5,4326.453134162761
26.6,4324.44829156609
26.700000000000003,4322.444186977943
26.8,4320.440822244176
26.900000000000002,4318.43819920783
27.0,4316.436319709143
27.1,4314.4351855855275
27.200000000000003,4312.434798671578
27.3,4310.435160799049
27.400000000000002,4308.436273796866
27.500000000000004,4306.438139491084
27.6,4304.440759704946
27.700000000000003,4302.444136258787
27.800000000000004,4300.448270970111
27.900000000000002,4298.453165653539
28.000000000000004,4296.4588221208
28.1,4294.465242180747
28.200000000000003,4292.472427639336
28.300000000000004,4290.480380299629
28.400000000000002,4288.4891019617635
28.500000000000004,4286.498594422982
28.6,4284.508859477597
28.700000000000003,4282.519898916994
28.800000000000004,4280.531714529628
28.9,4278.544308101002
28.999999999999996,4276.557681413698
29.099999999999998,4274.571836247322
29.2,4272.5867743785275
29.299999999999997,4270.602497580998
29.4,4268.619007625451
29.5,4266.636306279623
29.599999999999998,4264.6543953082655
29.7,4262.673276473136
29.799999999999997,4260.692951532996
29.9,4258.7134222436025
30.0,4256.7346903577
30.099999999999998,4254.756757625023
30.2,4252.779625792282
30.3,4250.803296603145
30.4,4248.82777179826
30.5,4246.853053115232
30.599999999999998,4244.87914228861
