Tempo,Particulas virais/uL
0.0,165.0
0.01,164.57686416355804
0.02,164.31918220836184
0.03,164.2168325725551
0.04,164.26035745340715
0.05,164.44091462127776
0.06,164.75023288559564
0.07,165.18057090837894
0.08,165.7246790897663
0.09,166.37576427583082
0.1,167.12745706199755
0.11,167.9737814860145
0.12,168.90912692292005
0.13,169.92822201106134
0.14,171.02611045316166
0.15,172.198128549902
0.16,173.43988433563558
0.17,174.74723819684195
0.18,176.1162848638728
0.19,177.54333667555835
0.2,179.02490802442742
0.21,180.55770089773446
0.22,182.13859143625623
0.23,183.76461743898957
0.24,185.43296674750763
0.25,187.14096644886973
0.26,188.88607284067473
0.27,190.66586210614338
0.28,192.47802165104858
0.29,194.32034205791575
0.3,196.19070961622148
0.31,198.08709939035083
0.32,200.00756878985976
0.33,201.9502516091474
0.34,203.91335250599548
0.35000000000000003,205.89514189059636
0.36,207.89395119868053
0.37,209.90816852418777
0.38,211.93623458861248
0.39,213.97663902570696
0.4,216.02791696165826
0.41000000000000003,218.08864587217153
0.42,220.15744269910869
0.43,222.23296121045036
0.44,224.3138895883809
0.45,226.3989482312479
0.46,228.4868877560242
0.47000000000000003,230.576487188709
0.48,232.6665523308506
0.49,234.75591429106
0.5,236.84342817101978
0.51,238.9279718960774
0.52,235.69813037955495
0.53,232.51987324677265
0.54,229.39208994953765
0.55,226.31370333231823
0.56,223.28366832638943
0.5700000000000001,220.30097070575098
0.58,217.3646259014229
0.59,214.4736778709357
0.6,211.62719802002968
0.61,208.82428417376073
0.62,206.06405959438058
0.63,203.34567204351936
0.64,200.66829288634597
0.65,198.03111623552076
0.66,195.43335813288374
0.67,192.87425576694292
0.68,190.35306672433947
0.6900000000000001,187.86906827357217
0.7000000000000001,185.42155667936257
0.71,183.00984654613384
0.72,180.63327018916334
0.73,178.29117703204972
0.74,175.98293302921095
0.75,173.70792011220152
0.76,171.46553565870266
0.77,169.25519198310346
0.78,167.0763158476481
0.79,164.92834799318092
0.8,162.81074268857208
0.81,160.7229672979557
0.8200000000000001,158.6645018649583
0.8300000000000001,156.63483871313835
0.84,154.63348206189843
0.85,152.6599476571701
0.86,150.71376241620695
0.87,148.794464085856
0.88,146.90160091370902
0.89,145.0347313315663
0.9,143.19342365067283
0.91,141.37725576821495
0.92,139.58581488459012
0.93,137.81869723098652
0.9400000000000001,136.07550780683243
0.9500000000000001,134.355860126696
0.96,132.65937597623682
0.97,130.9856851768297
0.98,129.33442535849917
0.99,127.70524174082047
1.0,126.09778692145869
1.01,124.51172067203393
1.02,122.94670974101395
1.03,121.40242766335034
1.04,119.8785545765869
1.05,118.37477704318165
1.06,116.89078787879552
1.07,115.4262859863119
1.08,113.9809761953621
1.09,112.55456910714159
1.1,111.14678094431152
1.11,109.7573334057894
1.12,108.38595352624097
1.1300000000000001,107.03237354009403
1.1400000000000001,105.69633074990237
1.1500000000000001,104.37756739889578
1.16,103.0758305475588
1.17,101.79087195408802
1.18,100.52244795858378
1.19,99.27031937083837
1.2,98.0342513615888
1.21,96.81401335710753
1.22,95.60937893700975
1.23,94.42012573516132
1.24,93.24603534357563
1.25,92.08689321919267
1.26,90.94248859343789
1.27,89.81261438446234
1.28,88.69706711196997
1.29,87.59564681454138
1.3,86.50815696936712
1.31,85.43440441430722
1.32,84.37419927219656
1.33,83.32735487731928
1.34,82.29368770397816
1.35,81.27301729708796
1.36,80.26516620472424
1.37,79.2699599125621
1.3800000000000001,78.28722678014175
1.3900000000000001,77.31679797889991
1.4000000000000001,76.35850743190886
1.41,75.41219175526679
1.42,74.47769020108538
1.43,73.55484460202261
1.44,72.64349931731051
1.45,71.74350118022981
1.46,70.85469944698482
1.47,69.97694574693392
1.48,69.11009403413243
1.49,68.25400054014641
1.5,67.40852372809728
1.51,66.5735242478987
1.52,65.74886489264847
1.53,64.93441055613962
1.54,64.13002819145609
1.55,63.33558677061958
1.56,62.55095724525548
1.57,61.77601250824676
1.58,61.010627356345786
1.59,60.254678453715336
1.6,59.50804429637066
1.61,58.77060517749582
1.62,58.04224315360811
1.6300000000000001,57.32284201154564
1.6400000000000001,56.612287236253515
1.6500000000000001,55.91046597934545
1.6600000000000001,55.21726702841791
1.67,54.532580777095006
1.68,53.856299195782995
1.69,53.18831580311378
1.7,52.528525638057836
1.71,51.8768252326872
1.72,51.23311258557026
1.73,50.59728713578024
1.74,49.96924973750025
1.75,49.348902635208006
1.76,48.736149439424146
1.77,48.13089510300837
1.78,47.53304589798827
1.79,46.942509392906175
